pnum,dob,caption,ethnicity,weight,height,is_veg,drink
58,06/05/71,"hello, trying this for the 1st time",1,68040,173,1,1
59,23/12/72,contact me,6,49896,157,1,0
60,09/10/74,I'm a stud that can last longer than the energizer bunny,1,83916,183,1,0
61,12/03/67,open to anything,2,83916,188,1,1
62,18/10/59,Hello to you!,1,49896,152,1,1
63,03/12/77,New member... still exploring,1,74844,183,1,1
64,19/11/56,no head games,1,81648,178,1,1
66,28/02/73,Move over Rover and let Dimi take over!!!,1,102060,188,1,1
67,03/04/74,older men are a real turn on,1,56700,168,1,1
68,20/06/66,lets get together,1,81648,183,1,1
69,22/10/68,"Single, Cute & Funny",1,77112,165,1,1
70,29/11/70,...just back from Europe..,1,79380,178,1,0
72,14/02/80,Latinlover,4,74844,178,1,0
73,10/03/67,"I think we are in ths same boat, it's time to sink or swim",1,81648,178,1,1
74,02/04/73,dejavu swallow me,1,77112,183,1,1
75,07/07/52,Looking for discreet encounters,1,102060,183,1,1
76,26/02/71,looking for fun for two,1,86184,183,1,1
77,23/01/64,i am definately worth a look,1,90720,183,1,1
78,01/01/63,share good times,1,77112,173,1,0
79,16/10/65,deperate times call for desperate measures,1,77112,168,1,1
80,04/10/53,looking to please!!!,1,74844,178,1,1
81,01/09/69,just for fun,1,86184,183,0,1
82,25/11/64,life's too short not to!!,1,79380,178,1,1
83,16/02/74,discret encounter,8,95256,178,1,1
84,17/03/65,Daytime erotic fun found here,1,77112,178,1,1
85,10/10/60,eee,8,86184,183,0,0
86,04/08/56,CUM FLY AWAY WITH ME,1,63504,163,1,1
87,14/04/73,Pretty women will be my downfall...lol,1,77112,183,1,0
88,22/08/54,Very open minded.....,1,81648,178,1,1
89,29/09/77,hi all,1,90720,183,1,1
90,06/07/77,If I tell you what I want. Can you deliver?,1,61236,173,1,1
91,06/09/66,Hello,1,99792,188,1,1
92,09/10/65,You will never know till you try!,1,108864,178,1,1
93,11/03/72,latin lover4u to have,4,79380,178,1,1
94,11/02/60,you've come to the right place,2,83916,183,1,1
95,07/12/70,Here I am,1,77112,178,1,0
96,29/11/73,A fun loving Young Executive,1,88452,183,1,1
97,07/12/70,Here I am,1,77112,178,1,0
98,03/06/68,Let's have fun,1,72576,178,1,1
99,04/02/72,goodlooking seeking adventure,1,77112,178,1,1
100,03/12/54,Looking to spice up my life and yours,1,92988,178,1,1
101,06/10/52,Hi there,9,54432,168,1,0
102,04/04/63,I love to play and have fun,1,81648,178,1,1
103,18/05/77,The tall dark mysterious stranger... is me!,1,79380,183,1,1
104,12/07/69,Show Me How To Please,1,97524,178,0,0
105,06/02/67,Come and light my fire....,1,58968,173,1,0
106,04/02/73,Thanks for a great time........you know who you are!,6,56700,163,1,1
107,03/06/66,"If you like chocolate, take a taste of this.....",2,58968,178,1,1
109,23/02/72,Looking for a good woman,1,77112,173,1,1
110,08/04/41,Anyone up for intimate times,1,79380,168,1,1
111,11/07/74,Are you lookin for what I've got?,1,99792,188,1,1
112,30/06/65,Just a guy in boxers,1,83916,183,1,0
113,20/11/54,willing to wash and wax your kitchen floor !,1,97524,178,1,1
114,23/07/54,lookin' for somethin' special,1,95256,188,1,1
115,05/07/56,Looking for all the fun and pstoneion,1,92988,183,1,0
116,18/12/62,I want you,1,54432,168,1,1
117,08/09/68,looking for a little added fun,1,74844,178,0,0
118,27/12/75,Looking for older women,1,81648,183,1,0
119,12/01/69,offer me,1,86184,178,1,0
120,24/09/78,Single Indian Male Looking for Sex Any type of ladies,6,74844,183,1,1
121,11/06/75,Seeking a sensual playmate for mutual pleasure.,1,86184,173,1,1
122,03/09/65,I am open to suggestions.,1,72576,163,1,0
123,06/06/53,"Hi, Active guy looking for the best life has to offer",1,90720,178,1,1
124,05/09/71,SEND ME YOUR THOUGHTS,9,63504,173,1,1
125,22/04/77,I reserve the right to back out..,1,47628,163,1,1
126,04/06/59,Are You The Tom Cruise Type?,1,56700,157,1,1
127,09/08/75,Hot Young Stud,8,74844,188,1,1
129,10/02/78,Fishing with no string.,3,68040,183,0,0
130,18/07/66,NEW PIC...looking for SENSUAL and TravelUAL fun!!!,1,88452,188,1,0
131,10/12/69,i want more,9,52164,163,1,1
132,30/05/64,pleasure takes two,1,63504,173,1,1
133,18/10/61,i m sensual  tender and strong masculin loving man  with hig swi,1,88452,188,1,1
134,24/04/63,Mr. Takes Forever,1,65772,168,1,1
135,24/09/71,Attached male ready and able to please,1,83916,178,1,1
136,10/02/59,Soakin' up the sun in Montreal ..,1,90720,183,1,1
137,26/05/52,Getting to know you....,1,97524,183,1,0
138,03/01/74,MAKING A WOMEN FEEL LIKE A QUEEN AND PLEASE HER IN EVERYWAY CAN,1,86184,173,1,1
139,12/08/53,Wine....women....and song !!(but not necessarily in that order!),1,83916,178,1,1
140,08/12/72,Want a taste for life??,1,79380,178,1,0
141,25/06/66,Crazy Sexy Cool,1,83916,178,1,1
142,19/09/63,hello,1,74844,183,1,1
143,16/06/63,"Down to earth and average BUT cutish, fun, and naughty!",1,68040,168,1,0
144,01/01/74,"I am 6 ft 1, 195 lbs athletic build, hazel eyes, nice tan...and.",9,88452,188,1,1
145,17/04/60,"Sensuous asian looking for the right gal. Find \ME\""""",3,72576,173,1,1
146,15/07/60,"Pstoneionate, intense and real",1,88452,183,1,1
147,29/10/62,Let's not waste any time - Let's Talk,1,79380,178,1,1
148,20/07/71,Help me show my wife the pleasures of anal.,2,102060,183,1,1
149,05/06/63,"Fun and Pstoneion ,just like a strawberry dipped in chocolate...",1,88452,178,1,1
151,26/08/52,The grey fox,1,86184,188,1,1
152,16/06/70,Seeing things on a different perspective,1,81648,168,1,1
153,12/04/60,time to move on,1,90720,183,1,0
154,09/06/46,Looking for fun Online,1,83916,178,1,1
155,09/12/79,swim machine here looking to please ladies,1,77112,183,1,0
157,13/08/66,Hi.,1,95256,183,1,0
158,07/09/72,Looking for some fun times....,1,90720,188,1,1
160,01/03/68,looking for new adventure,1,86184,173,1,1
161,27/05/73,Looking for a Sex Buddy!!!,8,72576,168,1,1
162,31/08/68,Looking for fun!,1,104328,193,1,1
164,03/11/67,Nothing ventured nothing gained,1,81648,188,1,1
165,03/02/67,Adventure and Excitement....,1,79380,178,1,1
166,11/04/70,if you want some discret & gentle,1,95256,178,1,1
167,19/06/60,Very sensual and romantic!!,1,86184,183,1,1
168,16/11/65,LET'S STEP OFF THE EDGE AND SEE WHAT HAPPENS,1,102060,188,1,1
170,16/10/64,Looking for fun,1,90720,183,1,0
171,18/07/64,looking for afternoon fun,1,99792,178,1,0
172,29/08/69,Hey there I'm new so be gentle...,1,83916,178,1,1
173,01/08/73,looking for sweet lady,1,86184,183,1,1
174,16/03/69,Let me make you feel like a real woman,1,81648,178,1,1
175,20/09/70,7,2,58968,168,1,1
176,08/07/71,What do you see in me?,2,54432,163,1,1
177,06/05/74,hey,1,102060,188,0,0
178,15/02/68,I love pie,6,86184,173,1,1
179,28/01/59,Looking for a playmate,1,86184,183,1,1
180,28/02/54,Look no further.....,1,77112,178,1,1
181,03/07/59,TALL AND FIT,1,74844,183,1,1
182,17/09/70,Seeeking slim smokers,1,77112,188,1,0
183,02/10/67,looking for a discret mate,1,83916,173,1,1
184,05/01/71,can you brighten my day,1,58968,173,1,1
185,10/06/66,pick me,6,56700,168,1,1
186,29/09/74,a diamond in the rough,6,49896,165,1,1
187,06/04/66,come rock my world,1,63504,173,1,1
188,04/10/53,"very lovable, very discreet",1,72576,178,1,1
189,20/04/70,would you like to take a bite,2,63504,173,0,1
190,20/03/62,Take me I'm yours.....,1,79380,178,1,0
191,21/10/71,hellooo ladiesss,7,81648,188,1,1
192,04/03/68,i'm all yours now,2,61236,173,1,0
193,01/05/62,all alone in the night sky,1,61236,173,1,1
194,04/11/72,i am the sun looking for my moon,1,58968,173,1,0
195,27/10/72,WOULD LIKE TO HAVE FUN,4,68040,168,1,1
196,12/04/75,Stop here i'm guaranteed to please!,1,74844,178,1,1
197,07/09/70,come out my fire,1,58968,168,1,1
198,04/06/50,pstoneion means living life,1,81648,188,1,1
199,01/11/77,"hey, it's worth looking...",1,74844,183,1,0
201,06/05/75,just looking for some fun ;o),1,83916,178,1,1
203,29/01/75,Who's up for a little fun on the side?,1,74844,178,1,1
204,25/11/76,good man who knows how to do bad things,1,83916,188,1,1
205,27/05/71,looking to find what I'm not getting at home,1,99792,183,0,1
206,09/09/61,"Hei, hot lunch is ready to serve",3,72576,173,1,0
207,19/03/68,afternoon delight,1,90720,188,1,1
208,09/09/70,An attractive 30s man looking for an ongoing sensual friendship.,1,92988,183,1,1
209,03/08/58,looking for love,9,77112,178,1,1
210,17/01/65,looking to rock your world,9,68040,178,1,1
211,05/05/64,6ft4in and well worth the climb!,1,104328,193,1,1
212,04/09/70,Does anyone need arresting? I know it is corny,1,92988,188,1,1
213,27/12/53,tall fit & creative in so many ways !,5,104328,198,1,1
214,29/09/71,French men with big hearts wanted here,1,49896,163,1,1
215,30/12/58,Montreal Guy,1,120204,183,1,1
216,07/01/64,Looking for discreet fun,1,81648,183,1,1
217,25/05/76,Looking for new and exciting experiences,1,72576,183,1,1
218,04/08/67,Welcome to Fantasy Island!,1,92988,193,1,0
219,21/03/66,Seeking Excitement,1,88452,183,0,0
220,06/03/70,How Dew you Dew...,1,86184,183,1,1
221,25/05/61,looking for casual,9,54432,188,1,1
222,10/11/62,"Mutual fun, excitement, respect and satisfaction only - no games",1,77112,173,1,1
223,06/03/72,Lookin' For a Little Lovin',1,58968,168,1,0
224,06/01/68,"I'm new, how are you?",1,52164,163,1,1
225,09/06/76,hi cowboys!,1,58968,168,1,0
226,05/07/67,Wants and Needs,1,54432,165,1,1
227,28/08/69,Hi there,1,61236,178,1,1
228,09/10/58,"Looking for pleasure, I hope you are. It's what I love to give.",1,81648,183,1,0
229,03/06/76,Open to anything,1,113400,198,1,0
230,22/12/69,like to have fun,1,77112,178,1,1
231,03/10/76,Come check me out........,5,74844,183,1,1
234,23/02/58,Lookin For Fun,1,74844,173,1,1
235,01/03/64,looking for you,1,79380,173,1,1
236,08/08/70,Hi How are you?,1,81648,183,1,1
237,03/11/72,looking for play mate are you game,1,86184,188,1,1
238,16/05/63,Not trying to talk anyone off a ledge.,1,90720,188,1,1
239,08/08/61,Let's see where the fun is.,1,68040,163,1,0
240,22/04/75,I'm a fanatic when it comes to sports,1,56700,165,1,0
241,01/06/58,I'm into all sorts of complicated devices,9,65772,178,1,0
242,05/08/65,I want to live a different life.,1,56700,165,0,0
243,26/06/80,Where would you like to be caressed?,2,86184,168,1,1
244,10/07/62,I dare you to dare me.,1,61236,168,0,0
245,28/03/67,I do eat meat on good friday.,1,63504,163,0,0
246,22/08/69,"I'm a divine, but I'm your type of divine.",1,77112,163,1,0
247,17/02/67,I like to play dress-up,1,83916,163,1,1
248,04/10/71,something extra,1,86184,183,1,0
249,29/06/63,SEEKING DISCRETE RELATIONSHIP,1,88452,183,1,1
250,12/07/63,Very Discreet Gentleman Looking For Romantic Times and Fun!!,1,113400,178,1,1
251,11/02/77,Indepent,1,86184,173,1,1
252,12/12/70,Hello..how can I help you?,8,92988,165,1,0
253,08/12/72,Looking for love,9,47628,178,1,1
254,08/09/58,"\Seeking pstoneionate woman to please!!!\""""",1,88452,183,1,1
255,05/06/70,"Hello, i would like to explore you!",1,72576,173,1,1
256,01/01/56,Looking for fun and intelligent,1,74844,173,1,1
257,03/03/75,It's a new day ...,2,74844,178,1,1
258,16/08/64,just looking for fun,1,77112,183,0,0
259,22/04/57,your afternoon delight,1,83916,178,0,0
260,30/01/69,Married but bored....,1,92988,178,1,1
261,04/07/60,"fine wine, great food and u",1,81648,183,1,1
262,30/11/66,"Sensual,pstoneionate,exploritive,creative Itatian lover seeks yo",1,92988,198,1,1
263,01/07/59,Anything you want,1,90720,183,1,0
264,28/07/65,Are you ready to slip and slide,1,54432,163,1,1
265,08/04/60,can you brighten up my day?,1,56700,165,1,0
266,09/04/72,Looking for Fun,1,113400,188,1,0
267,30/11/70,looking for intimate and discrete encounters,1,83916,183,1,0
268,30/11/70,looking for intimate and discrete encounters,1,83916,183,1,0
269,14/08/60,Meet me at the Copa....,1,58968,173,1,1
270,30/07/66,Let me love you til the morning comes...,3,54432,165,1,1
271,21/05/61,Are You The One For Me?,1,52164,163,0,1
272,05/05/68,I am all you need,1,56700,168,1,1
273,01/03/69,Seeking mental & physical stimulation-are you looking for same?,1,92988,188,1,1
274,10/05/74,Igniting our desire..,8,63504,173,1,0
275,07/12/73,"Horny, oral swim expert",3,81648,178,1,1
276,24/09/69,I'd be happy to email you my pics after you read below....,9,79380,178,1,1
277,23/01/52,"I am a friendly, easy-going adventurer",1,81648,178,1,1
278,03/08/58,Talk to Ralph,1,92988,188,1,1
279,28/10/76,Do you have the G.I. Joe Kung-Fu grip?,1,81648,183,1,1
280,07/10/71,Looking to meet some new faces,1,81648,178,1,1
281,16/08/75,looking for a woman or couple,1,54432,168,1,1
282,04/08/68,Hello,1,90720,178,1,1
283,09/01/65,WAITING FOR YOU,1,81648,173,1,0
284,26/04/59,"I am Clean, Generous and Open Minded!",1,72576,173,1,0
285,22/09/79,warm charming and very very fan.,2,68040,157,1,0
286,22/05/64,Looking for a little spice,1,122472,178,1,0
287,22/09/79,warm charming and very very fan.,2,68040,157,1,0
289,21/02/48,looking fun,1,74844,173,1,1
290,02/10/63,Love to be touched?,1,95256,178,1,1
291,15/06/70,Looking for fun,9,79380,178,1,1
292,06/05/75,Hello....Ladies.,1,65772,168,1,1
293,06/05/75,Open to anything...,1,72576,183,0,1
294,04/12/72,Looking for something casual,1,86184,178,1,1
295,10/02/62,Smooth touch leads to sensual endings,1,74844,173,1,1
296,12/12/75,Looking for something new and exciting,1,70308,183,0,0
297,13/05/61,"Tall, dark, lean , hard & handsome",1,86184,183,1,0
298,13/05/61,"Tall, dark, lean , hard & handsome",1,86184,183,1,0
299,13/05/61,"Tall,dark& handsome ... serious only...no liars",1,86184,183,1,0
300,13/05/61,"Tall, dark, lean , hard & handsome",1,86184,183,1,0
301,13/05/61,"Tall, dark, lean , hard & handsome",1,86184,183,1,0
302,13/05/61,"Tall, dark, lean , hard & handsome",1,86184,183,1,0
303,12/12/60,Looking to meet....,1,81648,188,1,0
304,03/05/76,atached seeking experince,1,81648,178,0,0
305,26/04/65,Single professional looking for fun,1,79380,173,1,1
306,18/12/53,icq,1,88452,173,1,1
307,08/03/74,ready and willing!,1,68040,178,1,0
308,01/01/65,looking4fun,9,61236,183,1,1
309,22/08/60,"\taking off the halo..life's too short\""""",1,102060,193,1,1
310,23/08/60,Do you want to play?,1,72576,183,1,1
311,16/07/74,It'll be our secret!,1,86184,178,1,0
312,09/08/66,I am ready if U R,1,65772,178,1,1
313,13/09/65,Are you a lion that needs a tamer?,1,70308,183,1,1
314,13/10/75,Let my lips do the talking,1,49896,168,1,1
316,10/01/46,LOOKING FOR LOVE,1,104328,183,1,0
317,24/08/61,It Only Gets Better From Here!,1,79380,173,1,1
318,05/07/05,HOT BROWN MALE,6,49896,157,1,1
319,09/01/68,Let's live an adventure!!,1,70308,178,1,1
320,23/08/67,"Happinesss begins with a call, Let's make a date!!",1,79380,178,1,1
321,11/09/56,political afficianada,1,99792,183,1,1
322,09/01/62,try it you wont be disapointed,1,79380,178,0,1
323,16/11/67,Let's spice things up (with cayenne pepper)!!,1,74844,178,1,1
324,16/12/76,Hot Muscular male looking for an older pstoneionate woman!,1,95256,183,1,1
325,22/05/79,Come fly away with me!,8,102060,183,1,0
326,01/06/53,Electrical Engineer,6,54432,173,1,1
327,01/11/68,A hot male looking for discreet fun.,1,74844,183,1,1
328,01/02/68,I love women!  Would love to find a special friend!,1,95256,183,1,1
329,08/06/64,very pstoneionate and exciting,1,81648,173,1,1
330,23/07/60,Hello,1,92988,188,1,1
331,09/01/65,Meet Discreet,1,81648,183,1,1
332,03/11/55,Discreet Fun Wanted,1,77112,183,1,1
334,07/05/79,"\Petite i am ! but all the better when it dejavus to Wild Sex!""",1,43092,147,1,1
336,05/07/68,hi guys,1,61236,168,1,1
337,09/04/65,whats up?,1,63504,173,1,1
338,07/06/75,"welcome, let's talk and share our most intimate experiences.",4,49896,165,0,1
339,02/08/70,how are you?,1,63504,173,1,0
340,05/07/76,ever fulfill your ultimate fantasy? I'm sure i can help:),1,58968,168,0,0
341,08/01/69,hi,2,58968,168,1,1
342,04/01/81,"let it be known, there is alway's a way..)",2,43092,165,1,1
343,07/01/63,such a powerful emotion,1,61236,168,1,0
344,07/03/67,here i am,1,65772,173,1,1
345,11/12/56,"Hello! Sweet bold barenaked ladies, I love to talk  and meet u!",8,72576,173,1,1
346,23/07/68,Here for only 3 more days!!!!!!!!!,1,106596,183,1,0
347,29/05/61,Married White Woman curious about interracial,1,58968,163,1,0
348,22/03/54,"Romantic, discreet with lots of laughter",1,99792,173,1,1
350,19/04/65,a little misbehav'n...and lovin it...,1,47628,168,1,0
351,01/01/63,"a little shy,hope we can break the boundaries,",6,70308,178,1,1
352,08/03/71,smile,1,68040,173,1,0
353,08/03/76,smile at me and I'll smile back,1,65772,173,1,0
354,06/12/83,need some healing hands...any offers,8,43092,152,0,1
355,28/07/71,a flower waiting to be picked,1,63504,173,0,1
356,02/07/66,keep the spirit,1,61236,168,1,1
357,02/06/56,any one for hands-on experience:),1,52164,178,1,1
358,02/07/66,talk to me guys,1,63504,168,1,1
359,02/10/55,come see how sweet i can be,2,65772,173,1,1
360,07/06/67,be pstoneionate,1,58968,173,1,1
361,28/11/65,"it is \I\"" who has the creativity","and u who will share in it..:)""",1,54432,173,1
362,06/10/70,I LIKE TOO FUCK WIVE'S,1,95256,178,0,0
363,06/09/70,i'm a gem,3,47628,163,1,1
364,06/08/80,hello there...i won't tell if you won't??,7,45360,165,1,1
365,01/02/61,hello there,1,63504,173,1,1
366,08/09/64,hi,1,65772,168,1,1
367,08/09/64,hi,1,65772,168,1,1
368,02/02/66,handle with care,1,45360,163,1,0
369,23/04/76,excitement & mystery lies within,1,56700,173,0,1
370,22/08/72,"emotions, sensations, images, ideas",4,52164,165,1,1
371,29/06/60,sweet smelling,1,61236,168,1,0
372,03/12/68,hi - message me if you like what you see,1,61236,168,0,1
373,30/10/60,mistress of the sea,3,49896,163,1,0
374,30/03/70,When you want it....just grab it,1,77112,183,1,1
375,15/08/55,"Sensual, discrete man in search of like minded woman",1,83916,178,1,1
376,24/10/50,Need somebody to look after you?,1,81648,173,1,0
377,26/09/41,Open to anything....,1,95256,193,1,1
379,01/08/73,"Intelligent, Creative, Spontanous",1,79380,183,1,1
381,20/08/55,mature woman looking for a mature man.,1,54432,152,1,1
382,26/06/63,I am a simple person who like the freedom of life,1,79380,183,1,1
383,01/10/59,call,1,72576,183,0,1
384,15/08/60,All yours,9,52164,178,1,1
385,26/10/64,Attractive man from the city above Toronto,1,81648,173,1,0
386,01/05/70,"Seeking a pstoneionate, confident, discreet, married man",1,63504,165,1,1
387,15/04/68,Tongue looking for a workout,3,61236,173,1,0
388,17/03/75,"Friendly, Easy-going, Handsome",1,88452,193,1,1
391,07/02/51,Looking for quality and discretion - something long term!,1,83916,173,1,1
392,15/12/66,are you not being fulfilled as you should be by husband???,1,86184,178,1,1
395,05/01/62,"\To all the Guy's i loved before\""....la la la la....""",1,56700,178,0,0
396,28/06/79,"just a \party animal\""","  let me know when and where???..)""",3,47628,157,1
397,09/11/58,"loving,caring,understanding",1,72576,168,1,0
398,28/09/69,"glstone of whine,hot bath and lots of.....:)",2,52164,152,1,0
399,22/11/59,"i'm older,educated,experienced but down right...HORNY!!!!",1,54432,178,0,1
400,31/12/61,pstoneion awaits you,1,65772,165,1,1
401,21/05/82,love to peel your banana..:),4,49896,173,1,0
402,22/03/68,"\keeping it together\"" with a pair of strong ......?""",1,58968,173,1,1
403,08/12/70,satisfaction is all that matters,4,63504,173,1,1
404,26/09/74,there's more to know about the french...lets talk.,1,43092,163,1,0
405,05/12/68,why don't we just get right to the point...:),6,52164,157,1,0
406,06/05/69,be gentle,2,61236,165,1,0
407,22/05/61,My Name is Brittney. And u think she has a hot body??,1,47628,173,1,1
408,09/03/60,"hi boys, gotta light.....",8,54432,178,0,1
409,03/06/56,just imagine us,1,63504,168,1,0
410,17/03/76,Looking for some swimy fun!,9,58968,173,1,1
411,07/08/68,look no more,1,65772,165,1,1
412,05/11/67,"Tenderness, discretion and Satisfaction",1,102060,183,1,1
413,02/08/70,be good,1,68040,168,1,0
414,01/07/67,try me,1,63504,173,1,1
415,08/05/57,hi there,1,63504,173,1,1
416,03/06/69,hi guys,1,63504,173,1,1
417,04/02/64,The thinking woman's choice,1,81648,178,1,0
418,05/04/65,"hi im looking for friendship, romance and pstoneion",1,90720,183,1,1
419,18/09/74,Here for fun nothing serious,1,86184,183,1,1
421,28/06/58,"Fun, Friendship, Comfort & Pstoneion",1,74844,168,1,1
422,15/05/71,24 Carats Baby,2,63504,178,1,0
423,22/08/76,be careful - im delicate,1,56700,168,0,0
424,07/05/69,"Good times, intimate pleasure, no strings.",4,74844,173,1,0
425,02/06/60,store owner,1,52164,165,1,1
426,04/05/75,Here I Am,3,49896,168,0,1
427,08/01/74,can you keep a secret?,9,63504,173,1,0
428,25/09/60,Looking for interesting conversation,1,79380,183,0,1
429,01/07/78,is the right guy out there?,6,49896,168,1,0
430,01/11/69,esclavo del amor,4,56700,168,0,0
431,10/10/58,"A good, safe, swimy catch",1,83916,178,1,1
432,30/03/54,lets put our imaginations together and see what happens,1,65772,168,0,1
433,01/02/68,who wants dessert?,1,61236,173,1,0
434,11/01/69,can you find the hidden jewels,6,61236,168,1,0
435,27/07/61,lets do this,2,63504,173,0,0
436,11/06/55,What are you looking for?,1,61236,173,1,0
437,28/01/59,Looking for whats missing,1,86184,183,1,0
438,05/06/70,Boyish Grin-Devilish Mind,1,72576,173,1,1
440,14/06/57,Put the fun back in dysFUNctional,1,104328,183,1,1
441,31/01/73,I want what I can't have at home!,1,83916,188,1,1
443,01/09/59,Explorer,1,90720,168,1,1
446,08/01/73,"Looking for some discreet, kinky fun",1,88452,183,1,1
449,08/01/73,"Looking for some discreet, kinky fun",1,88452,183,1,1
450,08/03/74,where are you BIG boys,1,49896,168,1,1
451,03/02/63,"Hi Ladies, I'm easy Going",1,83916,173,1,1
453,29/04/49,Fun and Leisurely Sex,1,61236,157,1,0
454,11/03/56,IA'M WAITING,9,104328,188,0,1
455,20/04/56,Think we can make a little fire!!!!,1,104328,173,1,1
456,07/03/69,looking for fun!,1,77112,168,1,0
457,23/05/64,ROMANTIC AT HEART,8,68040,178,1,1
458,07/12/62,An nice girls looking for a bit of spoiling??,1,65772,173,1,0
460,21/07/63,***** Bite me...not too hard !! *****,1,54432,157,1,0
461,03/08/67,show me the way guys,3,61236,168,1,1
462,27/10/76,"\Just got back from Rome.....talk about ROMANTIC......\""""",7,68040,168,1,1
463,06/09/59,lets share,1,65772,168,1,0
464,05/10/59,looking to meet a clstoney gentlemen...to share my inner desires,9,49896,178,0,1
465,07/02/71,feel free with me,1,65772,168,1,0
466,04/07/70,waiting for the right pickin...,2,54432,173,1,0
467,08/06/69,think you can handle me,2,61236,165,1,1
468,25/09/80,as i rub my lantern..wishing for my night and shining armour???,5,54432,183,0,1
469,04/11/58,do you think you can satisfy me,1,63504,168,1,0
470,06/03/70,"love, trust,understanding",1,65772,168,1,1
471,25/03/61,its great to meet other people who have the same desires as i do,1,63504,183,0,0
473,04/12/71,your search ends here,3,61236,168,1,1
474,26/02/78,so much to give and so little time to give it...:),1,43092,163,1,0
475,03/05/71,hi guys,1,63504,173,1,1
476,03/09/67,be romantic,1,63504,168,1,1
477,27/04/69,dejavu over to montreal...I'll show u a good time..,1,54432,165,0,0
478,05/02/69,"Affection, pstoneion, discretion...",1,70308,178,1,1
479,05/09/69,lets satisfy each other,1,61236,168,1,0
480,03/02/65,married man looking for attached woman,1,88452,178,0,1
481,28/08/72,are u the man for me???,4,74844,183,1,1
482,24/06/65,"adventerous,discreet,always in need of one thing!!!",5,52164,168,0,0
483,29/10/73,hmmmmmmmmmmmmmmmmmm.........,6,83916,163,1,1
484,20/05/61,Un bel homme mature pour vous madame!,1,83916,193,1,0
485,10/07/66,The cop seeks a lady,1,77112,183,1,1
486,19/12/63,lets see what happens,2,65772,173,1,0
487,28/09/53,lets get that heart pumping again,1,63504,168,0,1
488,09/01/57,lets get our imaginations rolling,1,72576,178,1,0
489,31/10/61,looking for fun,7,58968,173,1,0
490,01/08/60,it takes a lot more than a football of string to keep me enterta,1,58968,168,0,0
491,30/07/74,goth looking for a swimtoy...,1,72576,193,0,0
492,01/05/57,ENGINER,1,90720,183,1,1
493,09/08/53,Mr Grant is in the building!!,1,88452,173,1,1
494,06/11/29,Willy is looking for you!,1,72576,183,1,1
495,07/03/65,stop - you found me,4,47628,163,0,0
496,01/03/68,"looking for new adventure,",1,90720,178,0,0
497,26/09/63,is this what your looking for?,2,77112,173,1,1
498,12/06/58,Do It Now,1,95256,178,1,1
499,08/06/55,look no further,1,63504,168,0,0
500,24/05/57,live your life to the fullest,1,63504,173,1,1
501,30/01/61,enjoy it while you still can,1,70308,168,1,0
502,19/01/63,Mr. Eveready is waiting for you,1,83916,183,1,0
